Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
760.,Gary Ross,,77.274,09-16-1947,06-28-1968,07-08-1977,https://www.baseball-almanac.com/players/player.php?p=rossga01
761.,Alonzo Harris,,77.273,09-17-1947,04-13-1967,04-27-1967,https://www.baseball-almanac.com/players/player.php?p=harrica01
762.,Pete Hamm,,77.270,09-20-1947,07-29-1970,09-19-1971,https://www.baseball-almanac.com/players/player.php?p=hammpe01
763.,Buzz Capra,,77.259,10-01-1947,09-15-1971,09-26-1977,https://www.baseball-almanac.com/players/player.php?p=caprabu01
764.,Chuck Scrivener,,77.257,10-03-1947,09-18-1975,09-29-1977,https://www.baseball-almanac.com/players/player.php?p=scrivch01
765.,Glenn Adams,,77.256,10-04-1947,05-04-1975,10-03-1982,https://www.baseball-almanac.com/players/player.php?p=adamsgl01
766.,Jerry Bell,,77.254,10-06-1947,09-06-1971,05-15-1974,https://www.baseball-almanac.com/players/player.php?p=bellje01
767.,Charlie Vaughan,,77.254,10-06-1947,09-03-1966,06-01-1969,https://www.baseball-almanac.com/players/player.php?p=vaughch01
768.,Roger Metzger,,77.250,10-10-1947,06-16-1970,08-10-1980,https://www.baseball-almanac.com/players/player.php?p=metzgro01
769.,Rick James,,77.249,10-11-1947,09-20-1967,09-26-1967,https://www.baseball-almanac.com/players/player.php?p=jamesri01
770.,Jim Hutto,,77.243,10-17-1947,04-17-1970,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=huttoji01
771.,Bill Gogolewski,,77.234,10-26-1947,09-03-1970,08-05-1975,https://www.baseball-almanac.com/players/player.php?p=gogolbi01
772.,Loyd Colson,,77.225,11-04-1947,09-25-1970,09-25-1970,https://www.baseball-almanac.com/players/player.php?p=colsolo01
773.,Chris Arnold,,77.223,11-06-1947,09-07-1971,10-02-1976,https://www.baseball-almanac.com/players/player.php?p=arnolch01
774.,Skip Pitlock,,77.223,11-06-1947,06-12-1970,04-10-1975,https://www.baseball-almanac.com/players/player.php?p=pitlosk01
775.,Don Newhauser,,77.222,11-07-1947,06-15-1972,07-13-1974,https://www.baseball-almanac.com/players/player.php?p=newhado01
776.,Gene Garber,,77.216,11-13-1947,06-17-1969,07-01-1988,https://www.baseball-almanac.com/players/player.php?p=garbege01
777.,Tom Dettore,,77.212,11-17-1947,06-11-1973,04-21-1976,https://www.baseball-almanac.com/players/player.php?p=dettoto01
778.,Bob Boone,,77.210,11-19-1947,09-10-1972,09-27-1990,https://www.baseball-almanac.com/players/player.php?p=boonebo01
779.,John Morlan,,77.207,11-22-1947,07-20-1973,09-29-1974,https://www.baseball-almanac.com/players/player.php?p=morlajo01
780.,Tom Hall,,77.206,11-23-1947,06-09-1968,05-21-1977,https://www.baseball-almanac.com/players/player.php?p=hallto01
781.,Frank Tepedino,,77.206,11-23-1947,05-12-1967,04-29-1975,https://www.baseball-almanac.com/players/player.php?p=tepedfr01
782.,Larry Gura,,77.203,11-26-1947,04-30-1970,07-27-1985,https://www.baseball-almanac.com/players/player.php?p=gurala01
783.,Richie Hebner,,77.203,11-26-1947,09-23-1968,10-03-1985,https://www.baseball-almanac.com/players/player.php?p=hebneri01
784.,John Harrell,,77.202,11-27-1947,10-01-1969,10-02-1969,https://www.baseball-almanac.com/players/player.php?p=harrejo01
785.,Wayne Garrett,,77.196,12-03-1947,04-12-1969,09-26-1978,https://www.baseball-almanac.com/players/player.php?p=garrewa01
786.,Gerry Pirtle,,77.196,12-03-1947,07-02-1978,09-07-1978,https://www.baseball-almanac.com/players/player.php?p=pirtlge01
787.,Johnny Bench,,77.192,12-07-1947,08-28-1967,09-29-1983,https://www.baseball-almanac.com/players/player.php?p=benchjo01
788.,Jerry Cram,,77.190,12-09-1947,09-03-1969,09-27-1976,https://www.baseball-almanac.com/players/player.php?p=cramje01
789.,Ted Martinez,,77.189,12-10-1947,07-18-1970,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=martite01
790.,Greg Shanahan,,77.188,12-11-1947,09-04-1973,09-30-1974,https://www.baseball-almanac.com/players/player.php?p=shanagr01
791.,Dave Hamilton,,77.186,12-13-1947,05-29-1972,09-19-1980,https://www.baseball-almanac.com/players/player.php?p=hamilda01
792.,Ken Crosby,,77.184,12-15-1947,08-05-1975,05-08-1976,https://www.baseball-almanac.com/players/player.php?p=crosbke01
793.,Elliott Maddox,,77.178,12-21-1947,04-07-1970,10-01-1980,https://www.baseball-almanac.com/players/player.php?p=maddoel01
794.,Carlton Fisk,,77.173,12-26-1947,09-18-1969,06-22-1993,https://www.baseball-almanac.com/players/player.php?p=fiskca01
795.,Manny Muniz,,77.168,12-31-1947,09-03-1971,09-17-1971,https://www.baseball-almanac.com/players/player.php?p=munizma01
796.,Charlie Hough,,77.163,01-05-1948,08-12-1970,07-26-1994,https://www.baseball-almanac.com/players/player.php?p=houghch01
797.,Bill Laxton,,77.163,01-05-1948,09-15-1970,09-19-1977,https://www.baseball-almanac.com/players/player.php?p=laxtobi01
798.,Larry Hardy,,77.158,01-10-1948,04-28-1974,05-16-1976,https://www.baseball-almanac.com/players/player.php?p=hardyla01
799.,Rick Henninger,,77.157,01-11-1948,09-03-1973,09-24-1973,https://www.baseball-almanac.com/players/player.php?p=henniri01
800.,Glenn Redmon,,77.157,01-11-1948,09-08-1974,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=redmogl01
801.,Les Cain,,77.155,01-13-1948,04-28-1968,05-28-1972,https://www.baseball-almanac.com/players/player.php?p=cainle01
802.,Fred Cambria,,77.146,01-22-1948,08-26-1970,10-01-1970,https://www.baseball-almanac.com/players/player.php?p=cambrfr01
803.,Ed Goodson,,77.143,01-25-1948,09-05-1970,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=goodsed01
804.,Dave Moates,,77.138,01-30-1948,09-21-1974,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=moateda01
805.,Doug Howard,,77.131,02-06-1948,09-06-1972,06-19-1976,https://www.baseball-almanac.com/players/player.php?p=howardo01
806.,Jim Barr,,77.127,02-10-1948,07-31-1971,10-02-1983,https://www.baseball-almanac.com/players/player.php?p=barrji01
807.,Ron Cey,,77.122,02-15-1948,09-03-1971,07-12-1987,https://www.baseball-almanac.com/players/player.php?p=ceyro01
808.,Bruce Christensen,,77.115,02-22-1948,07-17-1971,09-30-1971,https://www.baseball-almanac.com/players/player.php?p=chrisbr01
809.,Tom Griffin,,77.115,02-22-1948,04-10-1969,05-11-1982,https://www.baseball-almanac.com/players/player.php?p=griffto02
810.,Mike Rogodzinski,,77.115,02-22-1948,05-04-1973,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=rogodmi01
811.,Mark Wiley,,77.109,02-28-1948,06-17-1975,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=wileyma01
812.,Tom Grieve,,77.105,03-04-1948,07-05-1970,05-01-1979,https://www.baseball-almanac.com/players/player.php?p=grievto01
813.,Leron Lee,,77.105,03-04-1948,09-05-1969,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=leele02
814.,Darrel Chaney,,77.100,03-09-1948,04-11-1969,09-30-1979,https://www.baseball-almanac.com/players/player.php?p=chaneda01
815.,John Curtis,,77.100,03-09-1948,08-13-1970,09-28-1984,https://www.baseball-almanac.com/players/player.php?p=curtijo01
816.,Dan Neumeier,,77.100,03-09-1948,09-08-1972,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=neumeda01
817.,Cesar Geronimo,,77.098,03-11-1948,04-16-1969,08-28-1983,https://www.baseball-almanac.com/players/player.php?p=geronce01
818.,Bob Watkins,,77.097,03-12-1948,09-06-1969,09-23-1969,https://www.baseball-almanac.com/players/player.php?p=watkibo01
819.,Steve Barber,,77.096,03-13-1948,04-09-1970,05-02-1971,https://www.baseball-almanac.com/players/player.php?p=barbest02
820.,Paul Powell,,77.090,03-19-1948,04-07-1971,09-03-1975,https://www.baseball-almanac.com/players/player.php?p=powelpa01
821.,Mike Nagy,,77.084,03-25-1948,04-21-1969,05-19-1974,https://www.baseball-almanac.com/players/player.php?p=nagymi01
822.,Willie Montanez,,77.077,04-01-1948,04-12-1966,10-02-1982,https://www.baseball-almanac.com/players/player.php?p=montawi01
823.,Leon Hooten,,77.074,04-04-1948,04-13-1974,05-06-1974,https://www.baseball-almanac.com/players/player.php?p=hootele01
824.,Rick Sawyer,,77.071,04-07-1948,04-28-1974,09-23-1977,https://www.baseball-almanac.com/players/player.php?p=sawyeri01
825.,Lee Lacy,,77.068,04-10-1948,06-30-1972,10-03-1987,https://www.baseball-almanac.com/players/player.php?p=lacyle01
826.,Ron Schueler,,77.060,04-18-1948,04-16-1972,07-04-1979,https://www.baseball-almanac.com/players/player.php?p=schuero01
827.,Rick Miller,,77.059,04-19-1948,09-04-1971,10-04-1985,https://www.baseball-almanac.com/players/player.php?p=milleri01
828.,Bob Beall,,77.054,04-24-1948,05-12-1975,09-23-1980,https://www.baseball-almanac.com/players/player.php?p=beallbo01
829.,Pablo Torrealba,,77.050,04-28-1948,04-09-1975,04-12-1979,https://www.baseball-almanac.com/players/player.php?p=torrepa01
830.,Mike Barlow,,77.048,04-30-1948,06-18-1975,06-08-1981,https://www.baseball-almanac.com/players/player.php?p=barlomi01
831.,Von Joshua,,77.047,05-01-1948,09-02-1969,08-09-1980,https://www.baseball-almanac.com/players/player.php?p=joshuvo01
832.,Steve Braun,,77.040,05-08-1948,04-06-1971,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=braunst01
833.,Miguel Puente,,77.040,05-08-1948,05-03-1970,05-26-1970,https://www.baseball-almanac.com/players/player.php?p=puentmi01
834.,Dave LaRoche,,77.034,05-14-1948,05-11-1970,08-23-1983,https://www.baseball-almanac.com/players/player.php?p=larocda01
835.,Bill North,,77.033,05-15-1948,09-03-1971,06-11-1981,https://www.baseball-almanac.com/players/player.php?p=northbi01
836.,Carlos May,,77.031,05-17-1948,09-06-1968,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=mayca01
837.,Al Santorini,,77.029,05-19-1948,09-10-1968,05-05-1973,https://www.baseball-almanac.com/players/player.php?p=santoal01
838.,Reggie Cleveland,,77.025,05-23-1948,10-01-1969,09-23-1981,https://www.baseball-almanac.com/players/player.php?p=clevere01
839.,Bob Hansen,,77.022,05-26-1948,05-10-1974,06-10-1976,https://www.baseball-almanac.com/players/player.php?p=hansebo01
840.,Gary Nolan,,77.021,05-27-1948,04-15-1967,09-18-1977,https://www.baseball-almanac.com/players/player.php?p=nolanga01
841.,Bob Randall,,77.007,06-10-1948,04-13-1976,05-31-1980,https://www.baseball-almanac.com/players/player.php?p=randabo01
842.,Dave Cash,,77.006,06-11-1948,09-13-1969,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=cashda01
843.,Ron LeFlore,,77.001,06-16-1948,08-01-1974,09-03-1982,https://www.baseball-almanac.com/players/player.php?p=lefloro01
844.,Dave Concepcion,,77.000,06-17-1948,04-06-1970,09-15-1988,https://www.baseball-almanac.com/players/player.php?p=conceda01
845.,Gary Ryerson,,77.000,06-17-1948,06-28-1972,09-03-1973,https://www.baseball-almanac.com/players/player.php?p=ryersga01
846.,Phil Meeler,,76.349,07-03-1948,05-10-1972,06-19-1972,https://www.baseball-almanac.com/players/player.php?p=meeleph01
847.,Wayne Nordhagen,,76.348,07-04-1948,07-16-1976,05-30-1983,https://www.baseball-almanac.com/players/player.php?p=nordhwa01
848.,Dave Lemonds,,76.347,07-05-1948,06-30-1969,10-02-1972,https://www.baseball-almanac.com/players/player.php?p=lemonda01
849.,Lerrin LaGrow,,76.344,07-08-1948,07-28-1970,07-14-1980,https://www.baseball-almanac.com/players/player.php?p=lagrole01
850.,Rich Hand,,76.342,07-10-1948,04-09-1970,09-26-1973,https://www.baseball-almanac.com/players/player.php?p=handri01
851.,Pepe Frias,,76.338,07-14-1948,04-06-1973,08-26-1981,https://www.baseball-almanac.com/players/player.php?p=friaspe01
852.,Jesse Hudson,,76.330,07-22-1948,09-19-1969,09-19-1969,https://www.baseball-almanac.com/players/player.php?p=hudsoje01
853.,Mike Adams,,76.328,07-24-1948,09-10-1972,07-25-1978,https://www.baseball-almanac.com/players/player.php?p=adamsmi02
854.,John Knox,,76.326,07-26-1948,08-01-1972,09-26-1975,https://www.baseball-almanac.com/players/player.php?p=knoxjo01
855.,Johnny Grubb,,76.317,08-04-1948,09-10-1972,09-28-1987,https://www.baseball-almanac.com/players/player.php?p=grubbjo01
856.,Gary Timberlake,,76.312,08-09-1948,06-18-1969,06-24-1969,https://www.baseball-almanac.com/players/player.php?p=timbega01
857.,Erskine Thomason,,76.308,08-13-1948,09-18-1974,09-18-1974,https://www.baseball-almanac.com/players/player.php?p=thomaer01
858.,Mike Jorgensen,,76.305,08-16-1948,09-10-1968,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=jorgemi01
859.,Bill Parsons,,76.304,08-17-1948,04-13-1971,09-28-1974,https://www.baseball-almanac.com/players/player.php?p=parsobi01
860.,Craig Robinson,,76.300,08-21-1948,09-09-1972,10-01-1977,https://www.baseball-almanac.com/players/player.php?p=robincr01
861.,Ron Blomberg,,76.298,08-23-1948,09-10-1969,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=blombro01
862.,Lew Beasley,,76.294,08-27-1948,05-21-1977,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=beaslle01
863.,Dick Lange,,76.289,09-01-1948,09-09-1972,09-23-1975,https://www.baseball-almanac.com/players/player.php?p=langedi01
864.,Jeff Newman,,76.279,09-11-1948,06-30-1976,09-07-1984,https://www.baseball-almanac.com/players/player.php?p=newmaje01
865.,Gary Lance,,76.269,09-21-1948,09-28-1977,09-28-1977,https://www.baseball-almanac.com/players/player.php?p=lancega01
866.,Eric Soderholm,,76.266,09-24-1948,09-03-1971,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=soderer01
867.,Ray Busse,,76.265,09-25-1948,07-24-1971,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=bussera01
868.,Carlos Lopez,,76.263,09-27-1948,09-17-1976,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=lopezca01
869.,Rusty Torres,,76.260,09-30-1948,09-20-1971,08-25-1980,https://www.baseball-almanac.com/players/player.php?p=torreru01
870.,Bill Bonham,,76.259,10-01-1948,04-07-1971,07-26-1980,https://www.baseball-almanac.com/players/player.php?p=bonhabi01
871.,Dave Johnson,,76.256,10-04-1948,07-02-1974,05-10-1978,https://www.baseball-almanac.com/players/player.php?p=johnsda03
872.,Bernie Williams,,76.252,10-08-1948,09-07-1970,05-12-1974,https://www.baseball-almanac.com/players/player.php?p=willibe01
873.,Randy Moffitt,,76.247,10-13-1948,06-11-1972,09-19-1983,https://www.baseball-almanac.com/players/player.php?p=moffira01
874.,Ed Figueroa,,76.246,10-14-1948,04-09-1974,09-27-1981,https://www.baseball-almanac.com/players/player.php?p=figueed01
875.,Brent Strom,,76.246,10-14-1948,07-31-1972,05-17-1977,https://www.baseball-almanac.com/players/player.php?p=strombr01
876.,Rimp Lanier,,76.241,10-19-1948,09-11-1971,09-26-1971,https://www.baseball-almanac.com/players/player.php?p=lanieri01
877.,Bill Russell,,76.239,10-21-1948,04-07-1969,10-01-1986,https://www.baseball-almanac.com/players/player.php?p=russebi01
878.,Toby Harrah,,76.234,10-26-1948,09-05-1969,10-04-1986,https://www.baseball-almanac.com/players/player.php?p=harrato01
879.,Mickey Rivers,,76.230,10-30-1948,08-04-1970,09-30-1984,https://www.baseball-almanac.com/players/player.php?p=rivermi01
880.,Rick Kreuger,,76.226,11-03-1948,09-06-1975,05-07-1978,https://www.baseball-almanac.com/players/player.php?p=kreugri01
881.,Buck Martinez,,76.222,11-07-1948,06-18-1969,10-03-1986,https://www.baseball-almanac.com/players/player.php?p=martibu01
882.,Leon Brown,,76.213,11-16-1948,05-19-1976,10-03-1976,https://www.baseball-almanac.com/players/player.php?p=brownle02
883.,Don Hahn,,76.213,11-16-1948,04-08-1969,09-25-1975,https://www.baseball-almanac.com/players/player.php?p=hahndo01
884.,Steve Yeager,,76.205,11-24-1948,08-02-1972,08-29-1986,https://www.baseball-almanac.com/players/player.php?p=yeagest01
885.,George Foster,,76.198,12-01-1948,09-10-1969,09-06-1986,https://www.baseball-almanac.com/players/player.php?p=fostege01
886.,Doc Medich,,76.190,12-09-1948,09-05-1972,10-02-1982,https://www.baseball-almanac.com/players/player.php?p=medicdo01
887.,Gene Hiser,,76.188,12-11-1948,08-20-1971,09-23-1975,https://www.baseball-almanac.com/players/player.php?p=hiserge01
888.,Ralph Garcia,,76.185,12-14-1948,09-26-1972,04-21-1974,https://www.baseball-almanac.com/players/player.php?p=garcira02
889.,Doug Rau,,76.184,12-15-1948,09-02-1972,05-26-1981,https://www.baseball-almanac.com/players/player.php?p=raudo01
890.,Jim Norris,,76.179,12-20-1948,04-07-1977,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=norriji01
891.,Dave Kingman,,76.178,12-21-1948,07-30-1971,10-05-1986,https://www.baseball-almanac.com/players/player.php?p=kingmda01
892.,Steve Garvey,,76.177,12-22-1948,09-01-1969,05-23-1987,https://www.baseball-almanac.com/players/player.php?p=garvest01
893.,Chris Chambliss,,76.173,12-26-1948,05-28-1971,05-08-1988,https://www.baseball-almanac.com/players/player.php?p=chambch01
894.,Dave Rader,,76.173,12-26-1948,09-05-1971,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=raderda01
895.,Ike Brookens,,76.165,01-03-1949,06-17-1975,06-25-1975,https://www.baseball-almanac.com/players/player.php?p=brookik01
896.,Gary Lavelle,,76.165,01-03-1949,09-10-1974,10-03-1987,https://www.baseball-almanac.com/players/player.php?p=lavelga01
897.,Dennis Saunders,,76.164,01-04-1949,05-21-1970,06-12-1970,https://www.baseball-almanac.com/players/player.php?p=saundde01
898.,Mike Buskey,,76.155,01-13-1949,09-05-1977,10-01-1977,https://www.baseball-almanac.com/players/player.php?p=buskemi01
899.,Jim Foor,,76.155,01-13-1949,04-09-1971,09-27-1973,https://www.baseball-almanac.com/players/player.php?p=foorji01
900.,Bobby Grich,,76.153,01-15-1949,06-29-1970,10-02-1986,https://www.baseball-almanac.com/players/player.php?p=grichbo01
901.,Mike Caldwell,,76.146,01-22-1949,09-04-1971,09-25-1984,https://www.baseball-almanac.com/players/player.php?p=caldwmi01
902.,Jim Tyrone,,76.139,01-29-1949,08-27-1972,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=tyronji01
903.,Fred Kendall,,76.137,01-31-1949,09-08-1969,08-10-1980,https://www.baseball-almanac.com/players/player.php?p=kendafr01
904.,Jim Willoughby,,76.137,01-31-1949,09-05-1971,09-28-1978,https://www.baseball-almanac.com/players/player.php?p=willoji01
905.,Bake McBride,,76.134,02-03-1949,07-26-1973,10-01-1983,https://www.baseball-almanac.com/players/player.php?p=mcbriba01
906.,Steve Brye,,76.133,02-04-1949,09-03-1970,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=bryest01
907.,Richie Zisk,,76.131,02-06-1949,09-08-1971,09-21-1983,https://www.baseball-almanac.com/players/player.php?p=ziskri01
908.,John Andrews,,76.128,02-09-1949,04-08-1973,09-19-1973,https://www.baseball-almanac.com/players/player.php?p=andrejo02
909.,Ben Oglivie,,76.126,02-11-1949,09-04-1971,10-05-1986,https://www.baseball-almanac.com/players/player.php?p=oglivbe01
910.,Ray Corbin,,76.125,02-12-1949,04-06-1971,07-28-1975,https://www.baseball-almanac.com/players/player.php?p=corbira01
911.,Bob Didier,,76.121,02-16-1949,04-07-1969,04-23-1974,https://www.baseball-almanac.com/players/player.php?p=didiebo01
912.,John Mayberry,,76.119,02-18-1949,09-10-1968,09-28-1982,https://www.baseball-almanac.com/players/player.php?p=maybejo01
913.,Jerry Morales,,76.119,02-18-1949,09-05-1969,09-28-1983,https://www.baseball-almanac.com/players/player.php?p=moralje01
914.,Dennis O'Toole,,76.096,03-13-1949,09-08-1969,06-23-1973,https://www.baseball-almanac.com/players/player.php?p=otoode01
915.,Jim Kern,,76.094,03-15-1949,09-06-1974,05-30-1986,https://www.baseball-almanac.com/players/player.php?p=kernji01
916.,Don Durham,,76.088,03-21-1949,07-16-1972,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=durhado01
917.,Jim Geddes,,76.086,03-23-1949,04-28-1972,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=geddeji01
918.,Frank Snook,,76.081,03-28-1949,07-13-1973,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=snookfr01
919.,Terry Cox,,76.079,03-30-1949,09-07-1970,09-24-1970,https://www.baseball-almanac.com/players/player.php?p=coxte01
920.,Mac Scarce,,76.070,04-08-1949,07-10-1972,06-25-1978,https://www.baseball-almanac.com/players/player.php?p=scarcma01
921.,Sam Ewing,,76.069,04-09-1949,09-11-1973,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=ewingsa01
922.,Tom Lundstedt,,76.068,04-10-1949,08-31-1973,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=lundsto01
923.,Pete Varney,,76.068,04-10-1949,08-26-1973,09-12-1976,https://www.baseball-almanac.com/players/player.php?p=varnepe01
924.,Bob O'Brien,,76.055,04-23-1949,04-11-1971,07-07-1971,https://www.baseball-almanac.com/players/player.php?p=obribo01
925.,Bruce Ellingsen,,76.052,04-26-1949,07-04-1974,09-28-1974,https://www.baseball-almanac.com/players/player.php?p=ellinbr01
926.,Phil Garner,,76.048,04-30-1949,09-10-1973,10-02-1988,https://www.baseball-almanac.com/players/player.php?p=garneph01
927.,Steve Grilli,,76.046,05-02-1949,09-19-1975,09-17-1979,https://www.baseball-almanac.com/players/player.php?p=grillst01
928.,Pat Osburn,,76.044,05-04-1949,04-13-1974,09-22-1975,https://www.baseball-almanac.com/players/player.php?p=osburpa01
929.,Jerry Martin,,76.037,05-11-1949,09-07-1974,09-19-1984,https://www.baseball-almanac.com/players/player.php?p=martije01
930.,Terry Hughes,,76.035,05-13-1949,09-02-1970,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=hughete01
931.,Steve Dunning,,76.033,05-15-1949,06-14-1970,09-30-1977,https://www.baseball-almanac.com/players/player.php?p=dunnist01
932.,Rick Reuschel,,76.032,05-16-1949,06-19-1972,04-22-1991,https://www.baseball-almanac.com/players/player.php?p=reuscri01
933.,Chris Ward,,76.030,05-18-1949,09-10-1972,10-01-1974,https://www.baseball-almanac.com/players/player.php?p=wardch02
934.,Mike Eden,,76.026,05-22-1949,08-02-1976,09-11-1978,https://www.baseball-almanac.com/players/player.php?p=edenmi01
935.,Ed Crosby,,76.022,05-26-1949,07-12-1970,05-12-1976,https://www.baseball-almanac.com/players/player.php?p=crosbed01
936.,Jim Deidel,,76.011,06-06-1949,05-31-1974,06-05-1974,https://www.baseball-almanac.com/players/player.php?p=deideji01
937.,Dusty Baker,,76.002,06-15-1949,09-07-1968,10-04-1986,https://www.baseball-almanac.com/players/player.php?p=bakerdu01
938.,Bob Rauch,,76.001,06-16-1949,06-29-1972,09-30-1972,https://www.baseball-almanac.com/players/player.php?p=rauchbo01
939.,Brian Ostrosser,,76.000,06-17-1949,08-05-1973,08-13-1973,https://www.baseball-almanac.com/players/player.php?p=ostrobr01
940.,Dave Schneck,,75.364,06-18-1949,07-14-1972,10-01-1974,https://www.baseball-almanac.com/players/player.php?p=schneda02
941.,Jerry Reuss,,75.363,06-19-1949,09-27-1969,10-03-1990,https://www.baseball-almanac.com/players/player.php?p=reussje01
942.,Dave Tomlin,,75.360,06-22-1949,09-02-1972,08-19-1986,https://www.baseball-almanac.com/players/player.php?p=tomlida01
943.,Dave Goltz,,75.359,06-23-1949,07-18-1972,06-22-1983,https://www.baseball-almanac.com/players/player.php?p=goltzda01
944.,Tim Nordbrook,,75.345,07-07-1949,09-13-1974,06-10-1979,https://www.baseball-almanac.com/players/player.php?p=nordbti01
945.,Steve Luebber,,75.343,07-09-1949,06-27-1971,09-29-1981,https://www.baseball-almanac.com/players/player.php?p=luebbst01
946.,Jack Heidemann,,75.341,07-11-1949,05-02-1969,05-10-1977,https://www.baseball-almanac.com/players/player.php?p=heideja01
947.,Stan Thomas,,75.341,07-11-1949,07-05-1974,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=thomast01
948.,Herb Hutson,,75.335,07-17-1949,04-10-1974,09-29-1974,https://www.baseball-almanac.com/players/player.php?p=hutsohe01
949.,Gene Locklear,,75.333,07-19-1949,04-05-1973,10-02-1977,https://www.baseball-almanac.com/players/player.php?p=locklge01
950.,Al Hrabosky,,75.331,07-21-1949,06-16-1970,08-18-1982,https://www.baseball-almanac.com/players/player.php?p=hraboal01
951.,Tim Johnson,,75.330,07-22-1949,04-24-1973,09-28-1979,https://www.baseball-almanac.com/players/player.php?p=johnsti01
952.,Santiago Guzman,,75.327,07-25-1949,09-30-1969,04-18-1972,https://www.baseball-almanac.com/players/player.php?p=guzmasa01
953.,Terry Humphrey,,75.317,08-04-1949,09-05-1971,06-11-1979,https://www.baseball-almanac.com/players/player.php?p=humphte01
954.,Ted Simmons,,75.312,08-09-1949,09-21-1968,10-02-1988,https://www.baseball-almanac.com/players/player.php?p=simmote01
955.,Tom Brown,,75.311,08-10-1949,09-14-1978,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=brownto04
956.,Luis Melendez,,75.310,08-11-1949,09-07-1970,06-01-1977,https://www.baseball-almanac.com/players/player.php?p=melenlu01
957.,Andre Thornton,,75.308,08-13-1949,07-28-1973,08-31-1987,https://www.baseball-almanac.com/players/player.php?p=thornan01
958.,Charlie Hudson,,75.303,08-18-1949,05-21-1972,07-10-1975,https://www.baseball-almanac.com/players/player.php?p=hudsoch01
959.,Paul Mitchell,,75.302,08-19-1949,07-01-1975,09-21-1980,https://www.baseball-almanac.com/players/player.php?p=mitchpa01
960.,Doug Bair,,75.299,08-22-1949,09-13-1976,10-03-1990,https://www.baseball-almanac.com/players/player.php?p=bairdo01
961.,Bob Babcock,,75.296,08-25-1949,07-22-1979,06-11-1981,https://www.baseball-almanac.com/players/player.php?p=babcobo01
962.,Gary Ignasiak,,75.289,09-01-1949,09-20-1973,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=ignasga01
963.,Garry Maddox,,75.289,09-01-1949,04-25-1972,04-20-1986,https://www.baseball-almanac.com/players/player.php?p=maddoga01
964.,Paul Jata,,75.286,09-04-1949,04-19-1972,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=jatapa01
965.,Rick Dempsey,,75.277,09-13-1949,09-23-1969,09-27-1992,https://www.baseball-almanac.com/players/player.php?p=dempsri01
966.,Don Carrithers,,75.275,09-15-1949,08-01-1970,09-27-1977,https://www.baseball-almanac.com/players/player.php?p=carrido01
967.,Dave Pagan,,75.275,09-15-1949,07-01-1973,09-27-1977,https://www.baseball-almanac.com/players/player.php?p=paganda01
968.,Mike Garman,,75.274,09-16-1949,09-22-1969,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=garmami01
969.,Don Kirkwood,,75.266,09-24-1949,09-13-1974,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=kirkwdo01
970.,Mike Schmidt,,75.263,09-27-1949,09-12-1972,05-28-1989,https://www.baseball-almanac.com/players/player.php?p=schmimi01
971.,Steve Busby,,75.261,09-29-1949,09-08-1972,08-26-1980,https://www.baseball-almanac.com/players/player.php?p=busbyst01
972.,Ike Blessitt,,75.260,09-30-1949,09-07-1972,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=blessik01
973.,Greg Pryor,,75.258,10-02-1949,06-04-1976,09-30-1986,https://www.baseball-almanac.com/players/player.php?p=pryorgr01
974.,Steve Foucault,,75.257,10-03-1949,04-07-1973,08-29-1978,https://www.baseball-almanac.com/players/player.php?p=foucast01
