Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
379.,Chuck Nieson,,82.266,09-24-1942,09-18-1964,09-19-1964,https://www.baseball-almanac.com/players/player.php?p=niesoch01
380.,Bill Landis,,82.252,10-08-1942,09-28-1963,09-30-1969,https://www.baseball-almanac.com/players/player.php?p=landibi01
381.,Pete Cimino,,82.243,10-17-1942,09-22-1965,05-07-1968,https://www.baseball-almanac.com/players/player.php?p=ciminpe01
382.,Willie Horton,,82.242,10-18-1942,09-10-1963,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=hortowi01
383.,Ron Reed,,82.227,11-02-1942,09-26-1966,09-29-1984,https://www.baseball-almanac.com/players/player.php?p=reedro01
384.,Jim Gosger,,82.223,11-06-1942,05-04-1963,09-22-1974,https://www.baseball-almanac.com/players/player.php?p=gosgeji01
385.,Bobby Pfeil,,82.216,11-13-1942,06-26-1969,09-16-1971,https://www.baseball-almanac.com/players/player.php?p=pfeilbo01
386.,Larry Haney,,82.210,11-19-1942,07-27-1966,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=haneyla01
387.,Jerry Nyman,,82.206,11-23-1942,08-24-1968,09-27-1970,https://www.baseball-almanac.com/players/player.php?p=nymanje01
388.,Fred Beene,,82.205,11-24-1942,09-18-1968,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=beenefr01
389.,Jose Pena,,82.196,12-03-1942,06-01-1969,07-14-1972,https://www.baseball-almanac.com/players/player.php?p=penajo01
390.,Dick Billings,,82.195,12-04-1942,09-11-1968,06-27-1975,https://www.baseball-almanac.com/players/player.php?p=billidi01
391.,Fergie Jenkins,,82.186,12-13-1942,09-10-1965,09-26-1983,https://www.baseball-almanac.com/players/player.php?p=jenkife01
392.,Pete Charton,,82.178,12-21-1942,04-19-1964,09-30-1964,https://www.baseball-almanac.com/players/player.php?p=chartpe01
393.,Jerry Koosman,,82.176,12-23-1942,04-14-1967,08-21-1985,https://www.baseball-almanac.com/players/player.php?p=koosmje01
394.,Byron Browne,,82.172,12-27-1942,09-09-1965,06-18-1972,https://www.baseball-almanac.com/players/player.php?p=brownby01
395.,Bob Gebhard,,82.165,01-03-1943,08-02-1971,09-03-1974,https://www.baseball-almanac.com/players/player.php?p=gebhabo01
396.,Ron Clark,,82.154,01-14-1943,09-11-1966,09-26-1975,https://www.baseball-almanac.com/players/player.php?p=clarkro02
397.,Brian McCall,,82.143,01-25-1943,09-18-1962,09-29-1963,https://www.baseball-almanac.com/players/player.php?p=mccalbr01
398.,Doug Adams,,82.141,01-27-1943,09-08-1969,10-01-1969,https://www.baseball-almanac.com/players/player.php?p=adamsdo01
399.,Davey Johnson,,82.138,01-30-1943,04-13-1965,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=johnsda02
400.,Ron Woods,,82.136,02-01-1943,04-22-1969,09-29-1974,https://www.baseball-almanac.com/players/player.php?p=woodsro01
401.,Don Arlich,,82.122,02-15-1943,10-02-1965,08-04-1966,https://www.baseball-almanac.com/players/player.php?p=arlicdo01
402.,Joe Moeller,,82.122,02-15-1943,04-12-1962,09-29-1971,https://www.baseball-almanac.com/players/player.php?p=moelljo01
403.,Bobby Darwin,,82.121,02-16-1943,09-30-1962,08-18-1977,https://www.baseball-almanac.com/players/player.php?p=darwibo01
404.,Gail Hopkins,,82.118,02-19-1943,06-29-1968,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=hopkiga01
405.,Jack Billingham,,82.116,02-21-1943,04-11-1968,06-20-1980,https://www.baseball-almanac.com/players/player.php?p=billija01
406.,Rick Reichardt,,82.093,03-16-1943,09-01-1964,04-09-1974,https://www.baseball-almanac.com/players/player.php?p=reichri01
407.,Steve Dillon,,82.089,03-20-1943,09-05-1963,05-06-1964,https://www.baseball-almanac.com/players/player.php?p=dillost01
408.,Bruce Howard,,82.086,03-23-1943,09-04-1963,09-29-1968,https://www.baseball-almanac.com/players/player.php?p=howarbr01
409.,Mike DeGerick,,82.077,04-01-1943,09-04-1961,09-13-1962,https://www.baseball-almanac.com/players/player.php?p=degermi01
410.,Barry Moore,,82.075,04-03-1943,05-29-1965,10-01-1970,https://www.baseball-almanac.com/players/player.php?p=mooreba01
411.,Mike Epstein,,82.074,04-04-1943,09-16-1966,04-28-1974,https://www.baseball-almanac.com/players/player.php?p=epstemi01
412.,John Hiller,,82.070,04-08-1943,09-06-1965,05-27-1980,https://www.baseball-almanac.com/players/player.php?p=hillejo01
413.,Roy Gleason,,82.069,04-09-1943,09-03-1963,09-28-1963,https://www.baseball-almanac.com/players/player.php?p=gleasro01
414.,Vicente Romo,,82.066,04-12-1943,04-11-1968,07-27-1982,https://www.baseball-almanac.com/players/player.php?p=romovi01
415.,Frank Fernandez,,82.062,04-16-1943,09-12-1967,05-25-1972,https://www.baseball-almanac.com/players/player.php?p=fernafr01
